name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Thomas Wenn,Thomas,,Wenn,,,,,Other,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,thomaswenn@hotmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Mike Johnson,Mike,,Johnson,,,,,Republican Party,U.S. House Louisiana District 4,U.S. Representative,LA,Incumbent,Louisiana Congressional District 4,,,Male,1972-01-30,,,,,,,mike@mikejohnsonforlouisiana.com,https://mikejohnson.house.gov,,,https://www.twitter.com/RepMikeJohnson,,,,,,,,,https://www.facebook.com/RepMikeJohnson,,,,,,,,568 Cannon House Office Building,,,202-225-2777,,,,,,,,,,,,,106095,412706,156097,,,21727,,/m/0131jn2m,,https://api.propublica.org/congress/v1/members/J000299.json,,,,H6LA04138,,,ocd-division/country:us/state:la/cd:4,,
Syrita Steib,Syrita,,Steib,,,,,Democratic Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,ssteib@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Salvador P. Rodriguez,Salvador,P.,Rodriguez,,,,,Democratic Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,clubsalvie@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(985) 514-6680,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
"Christopher ""Chris"" Schulz",Christopher,,Schulz,"""Chris""",,,,Republican Party,Louisiana State Senate District 3,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 3,,,,,,,,,n/a,,chris.m.schulz@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 909-1150,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:3,,
"Stuart J. Guey, Jr.",Stuart,J.,Guey,,,Jr.,,Republican Party,Louisiana State Senate District 4,Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District 4,,,,,,,,,,,drguey@drguey.com,,,,,,,,,,,,,,,,,,,,,,,(504) 442-9934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:4,,
Walter Earl Huff,Walter,Earl,Huff,,,,,Democratic Party,U.S. House Louisiana District 5,U.S. Representative,LA,Challenger,Louisiana Congressional District 5,,,,,,,,,n/a,,wearlhuff@att.net,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 267-1115,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:5,,
Joseph Greco,Joseph,,Greco,,,,,Unaffiliated,Louisiana State Senate District 4,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 4,,,,,,,,,n/a,,joegreco9366@yahoo.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 394-4927,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:4,,
David R. Clark,David,R.,Clark,,,,,Republican Party,Louisiana State Senate District 4,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 4,,,,,,,,,n/a,,drclarksr@aol.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 912-8966,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:4,,
"MV ""Vinny"" Mendoza",MV,,Mendoza,"""Vinny""",,,,Democratic Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,vinny@vinnymendoza.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 913-3971,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
"Oscar ""Omar"" Dantzler",Oscar,,Dantzler,"""Omar""",,,,Democratic Party,U.S. House Louisiana District 5,U.S. Representative,LA,Challenger,Louisiana Congressional District 5,,,,,,,,,n/a,,oscardantzler@yahoo.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(985) 510-1422,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:5,,
Luke Mixon,Luke,,Mixon,,,,,Democratic Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,info@lukemixon.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 369-0402,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
John Kennedy,John,,Kennedy,,,,,Republican Party,U.S. SenateLouisiana,U.S. Senator,LA,Incumbent,Louisiana Statewide,,,Male,1951-11-21,,,,,,,johnkennedy@johnkennedy.com,https://www.kennedy.senate.gov/public,,,https://www.twitter.com/SenJohnKennedy,,,,,,,,,https://www.facebook.com/JohnKennedyLouisiana,,,,,,https://www.kennedy.senate.gov/public/?a=RSS.Feed,,416 Russell Senate Office Building,,(225) 248-6458,202-224-4623,,,,https://www.kennedy.senate.gov/public/email-me,,,,,,,,S389,1011723,412679,35496,,,41703,,/m/0fl2sv,,https://api.propublica.org/congress/v1/members/K000393.json,,,,S4LA00065,,,ocd-division/country:us/state:la,,
"William ""Jason"" Dillman",William,,Dillman,"""Jason""",,,,Republican Party,Louisiana State Senate District 5,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 5,,,,,,,,,n/a,,wmjdillman@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 390-9224,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:5,,
Wil Hildebrand,Wil,,Hildebrand,,,,,Unaffiliated,Louisiana State Senate District 5,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 5,,,,,,,,,n/a,,wilsonhildebrand@aol.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 391-0905,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:5,,
Julia Letlow,Julia,,Letlow,,,,,Republican Party,U.S. House Louisiana District 5,U.S. Representative,LA,Incumbent,Louisiana Congressional District 5,,,Female,1981-03-16,,,,,,,info@julialetlow.com,https://letlow.house.gov,,,https://www.twitter.com/repjulialetlow,,,,,,,,,,,,,,,,,,,(318) 538-1034,,,,,,,,,,,,,,,456859,,,,,,,,https://api.propublica.org/congress/v1/members/L000595.json,,,,H2LA05126,,,ocd-division/country:us/state:la/cd:5,,
"Robert ""Rob"" Forshee",Robert,,Forshee,"""Rob""",,,,Republican Party,Louisiana State Senate District 5,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 5,,,,,,,,,n/a,,reforshee@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 491-1989,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:5,,
"Patricia L. ""Patty"" McCarty",Patricia,"L. ""Patty""",McCarty,,,,,Republican Party,Louisiana State Senate District 5,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 5,,,,,,,,,n/a,,d5@ecn.net,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 407-1197,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:5,,
"Gary Chambers, Jr.",Gary,,Chambers,,,Jr.,,Democratic Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,gary@chambersforlouisiana.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 287-2916,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Hunter Pullen,Hunter,,Pullen,,,,,Republican Party,U.S. House Louisiana District 5,U.S. Representative,LA,Challenger,Louisiana Congressional District 5,,,,,,,,,n/a,,hunterpullen94@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 812-4049,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:5,,
Devin Lance Graham,Devin,Lance,Graham,,,,,Republican Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,dlgraham86@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 647-5906,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Dustin Galle,Dustin,,Galle,,,,,Republican Party,Louisiana State Senate District 5,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 5,,,,,,,,,n/a,,dustinmgalle@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 458-1355,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:5,,
Trudy Newberry,Trudy,,Newberry,,,,,Republican Party,Louisiana State Senate District 6,Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District 6,,,,,,,,,,,tnewberry928@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,(504) 458-0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:6,,
Bradley McMorris,Bradley,,McMorris,,,,,Independent Party of Louisiana,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,bradmcmorris12@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 328-0848,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Allen Guillory,Allen,,Guillory,,,,,Republican Party,U.S. House Louisiana District 5,U.S. Representative,LA,Challenger,Louisiana Congressional District 5,,,,,,,,,n/a,,allenguillory@hotmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(337) 278-0873,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:5,,
Beryl A. Billiot,Beryl,A.,Billiot,,,,,Unaffiliated,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,beryl@berylbilliot.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(985) 614-0550,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Stacey Mattison,Stacey,,Mattison,,,,,Unaffiliated,Louisiana State Senate District 6,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 6,,,,,,,,,n/a,,ostace@yahoo.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 250-9244,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:6,,
"Lloyd ""Ronnie"" Newsom, Jr.",Lloyd,,Newsom,"""Ronnie""",,Jr.,,Republican Party,Louisiana State Senate District 6,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 6,,,,,,,,,n/a,,ronnienewsom@aol.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 453-8023,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:6,,
"Rufus Holt Craig, Jr.",Rufus,Holt,Craig,,,Jr.,,Libertarian Party,U.S. House Louisiana District 6,U.S. Representative,LA,Challenger,Louisiana Congressional District 6,,,,,,,,,n/a,,rufus@rufuscraiglaw.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 928-0310,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:6,,
"Carlton M. LaFrance, Sr.",Carlton,M.,LaFrance,,,Sr.,,Democratic Party,Louisiana State Senate District 7,Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District 7,,,,,,,,,,,clafrance@ppgov.net,,,,,,,,,,,,,,,,,,,,,,,(504) 914-0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:7,,
"Mitch Jurisich, Jr.",Mitch,,Jurisich,,,Jr.,,Democratic Party,Louisiana State Senate District 8,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 8,,,,,,,,,n/a,,mitchjurisich@yahoo.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 382-7061,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:8,,
Aaron C. Sigler,Aaron,C.,Sigler,,,,,Libertarian Party,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,asigler01@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(660) 349-9544,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Steve Scalise,Steve,,Scalise,,,,,Republican Party,U.S. House Louisiana District 1,U.S. Representative,LA,Incumbent,Louisiana Congressional District 1,,,Male,1965-10-06,,,,,,,sjs@stevescalise.com,https://scalise.house.gov,,,https://www.twitter.com/SteveScalise,,,https://www.youtube.com/c/RepSteveScalise,,,,,,https://www.facebook.com/RepSteveScalise,,,,,,https://scalise.house.gov/rss.xml,,2049 Rayburn House Office Building,,(504) 831-3105,202-225-3015,,,,,,,,,,,,,1015311,412261,9026,,,20759,,/m/0br34c,,https://api.propublica.org/congress/v1/members/S001176.json,,,,H0LA01087,,,ocd-division/country:us/state:la/cd:1,,
Garret Graves,Garret,,Graves,,,,,Republican Party,U.S. House Louisiana District 6,U.S. Representative,LA,Incumbent,Louisiana Congressional District 6,,,Male,1972-01-31,,,,,,,info@garrettgraves.com,https://garretgraves.house.gov,,,https://www.twitter.com/RepGarretGraves,,,,,,,,,https://www.facebook.com/CongressmanGarretGraves,,,,,,https://garretgraves.house.gov/rss.xml,,2402 Rayburn House Office Building,,(225) 439-7053,202-225-3901,,,,,,,,,,,,,9274609,412631,155424,,,21523,,/m/012bxlbr,,https://api.propublica.org/congress/v1/members/G000577.json,,,,H4LA06153,,,ocd-division/country:us/state:la/cd:6,,
Katie Darling,Katie,,Darling,,,,,Democratic Party,U.S. House Louisiana District 1,U.S. Representative,LA,Challenger,Louisiana Congressional District 1,,,,,,,,,n/a,,campaign@katie4louisiana.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 206-6086,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:1,,
"Bartol John Taliancich, Jr.",Bartol,John,Taliancich,,,Jr.,,Republican Party,Louisiana State Senate District 8,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 8,,,,,,,,,n/a,,johntaliancichjr@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 416-9540,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:8,,
"Avery Riley, Jr.",Avery,,Riley,,,Jr.,,Democratic Party,Louisiana State Senate District 8,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 8,,,,,,,,,n/a,,averyriley09@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 912-2299,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:8,,
"Mark ""Hobbo"" Cognevich",Mark,,Cognevich,"""Hobbo""",,,,Unaffiliated,Louisiana State Senate District 9,Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District 9,,,,,,,,,,,mcognevich@ppgov.net,,,,,,,,,,,,,,,,,,,,,,,(504) 234-1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:9,,
Brian Belzer,Brian,,Belzer,,,,,Republican Party,U.S. House Louisiana District 6,U.S. Representative,LA,Challenger,Louisiana Congressional District 6,,,,,,,,,n/a,,info@belzerforchange.us,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(225) 955-7097,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:6,,
Theodore Fountaine III,Theodore,,Fountaine,,,III,,Democratic Party,Louisiana State Senate District D (unexpired),Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District D (unexpired),,,,,,,,,,,theodorefountaine@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,(318) 792-1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:rapides/council_district:d,,
Howard Kearney,Howard,,Kearney,,,,,Libertarian Party,U.S. House Louisiana District 1,U.S. Representative,LA,Challenger,Louisiana Congressional District 1,,,,,,,,,n/a,,howard@kearney.name,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(985) 630-6388,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:1,,
Angelina B. Iles,Angelina,B.,Iles,,,,,Democratic Party,Louisiana State Senate District D (unexpired),Louisiana County Legislator,LA,Challenger,Louisiana State Senate District D (unexpired),,,,,,,,,n/a,,angeliles3784@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 730-3622,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:rapides/council_district:d,,
