name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Mildred S. Scott,Mildred,S.,Scott,,,,,Democratic Party,Middlesex County Sheriff,Middlesex County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:middlesex,,
James J. Tedesco III,James,J.,Tedesco,,,III,,Democratic Party,,New Jersey County Executive,NJ,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Thomas J. Sullivan,Thomas,J.,Sullivan,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Ian Gill,Ian,,Gill,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:camden,,
Jay R. Shah,Jay,R.,Shah,,,,,Democratic Party,New Jersey State Senate District 4,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate District 4,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic/council_district:4,,
Edward T. Mcdonnell,Edward,T.,Mcdonnell,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:camden,,
Carmen G. Rodriguez,Carmen,G.,Rodriguez,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:camden,,
Ronald Joseph Lin,Ronald,Joseph,Lin,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Todd Caliguire,Todd,,Caliguire,,,,,Republican Party,,New Jersey County Executive,NJ,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Mary Amoroso,Mary,,Amoroso,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Germaine M. Ortiz,Germaine,M.,Ortiz,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Julia L. Hankerson,Julia,L.,Hankerson,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cape_may,,
E. Marie Hayes,E.,Marie,Hayes,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cape_may,,
E. Junior Maldonado,E.,Junior,Maldonado,,,,,Democratic Party,Hudson County Clerk,Hudson County Clerk,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:hudson,,
Andrew J. Bulakowski,Andrew,J.,Bulakowski,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cape_may,,
Dean Marcolongo,Dean,,Marcolongo,,,,,Republican Party,Cape May County Surrogate,Cape May County Surrogate,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cape_may,,
Victoria Groetsch-Lods,Victoria,,Groetsch-Lods,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cumberland,,
Douglas Holden,Douglas,,Holden,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Dierdre G. Paul,Dierdre,G.,Paul,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:bergen,,
Beth Hamburger,Beth,,Hamburger,,,,,Republican Party,Hudson County Clerk,Hudson County Clerk,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:hudson,,
Jeff Fortune,Jeff,,Fortune,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:burlington,,
Priscilla Ocasio-Jimenez,Priscilla,,Ocasio-Jimenez,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cumberland,,
Douglas A. Albrecht,Douglas,A.,Albrecht,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cumberland,,
Hussain Kolani,Hussain,,Kolani,,,,,Republican Party,Hudson County Sheriff,Hudson County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:hudson,,
Darlene Barber,Darlene,,Barber,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:cumberland,,
"Joseph N. Divincenzo, Jr.",Joseph,N.,Divincenzo,,,Jr.,,Democratic Party,,New Jersey County Executive,NJ,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:essex,,
Allison Eckel,Allison,,Eckel,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:burlington,,
Frank X. Schillari,Frank,X.,Schillari,,,,,Democratic Party,Hudson County Sheriff,Hudson County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:hudson,,
Mike Ditzel,Mike,,Ditzel,,,,,Republican Party,Burlington County Sheriff,Burlington County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:burlington,,
"Dominick ""Nick"" DiRocco",Dominick,,DiRocco,"""Nick""",,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:monmouth,,
Bonnie Kass-Viola,Bonnie,,Kass-Viola,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:monmouth,,
Donald W. Norcross,Donald,W.,Norcross,,,,https://clerk.house.gov/content/assets/img/members/N000188.jpg,Democratic Party,U.S. House New Jersey District 1,U.S. Representative,NJ,Incumbent,New Jersey Congressional District 1,,,Male,1958-12-13,,,,,,,,https://norcross.house.gov,,https://www.donaldnorcrossforcongress.com/,https://www.twitter.com/DonaldNorcross,,https://www.twitter.com/DonNorcross4NJ,https://www.youtube.com/c/DonaldNorcross,,,https://www.instagram.com/donald_norcross/,,,https://www.facebook.com/DonaldNorcrossNJ,,https://www.facebook.com/DNforC/,,,,https://norcross.house.gov/rss.xml,"P.O. Box 160 Collingswood, NJ 08108",2427 Rayburn House Office Building,,,202-225-6501,,,,,,,,,,,,,76311,412606,116277,,,21536,https://en.wikipedia.org/wiki/Donald_Norcross,/m/09g8b1_,,https://api.propublica.org/congress/v1/members/N000188.json,,,,H4NJ01084,,,ocd-division/country:us/state:nj/cd:1,,
Shaun Golden,Shaun,,Golden,,,,,Republican Party,Monmouth County Sheriff,Monmouth County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:monmouth,,
Larry Luttrell,Larry,,Luttrell,,,,,Democratic Party,Monmouth County Sheriff,Monmouth County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:monmouth,,
Joshua Leinsdorf,Joshua,,Leinsdorf,,,,,Unaffiliated,Monmouth County Sheriff,Monmouth County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:monmouth,,
Tom Mastrangelo,Tom,,Mastrangelo,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:morris,,
"Thomas ""T.C."" McCourt",Thomas,,McCourt,"""T.C.""",,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:morris,,
Judith Hernandez,Judith,,Hernandez,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:morris,,
Doug Cabana,Doug,,Cabana,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:morris,,
Christine Myers,Christine,,Myers,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:morris,,
"Bill Pascrell, Jr.",Bill,,Pascrell,,,Jr.,https://clerk.house.gov/content/assets/img/members/P000096.jpg,Democratic Party,U.S. House New Jersey District 9,U.S. Representative,NJ,Incumbent,New Jersey Congressional District 9,,,Male,1937-01-25,,,,,,,,https://pascrell.house.gov,,https://billpascrell.com/,https://www.twitter.com/BillPascrell,,https://www.twitter.com/PascrellforNJ,https://www.youtube.com/user/RepPascrell,,,https://www.instagram.com/billpascrell/,,,https://www.facebook.com/pascrell,,https://www.facebook.com/PascrellForNJ/,,,,,"P.O. Box 100 Teaneck, NJ 07666",2409 Rayburn House Office Building,,,202-225-5751,,,,,,,,,,,,,45543,400309,478,,,29741,https://en.wikipedia.org/wiki/Bill_Pascrell,/m/03txs_,,https://api.propublica.org/congress/v1/members/P000096.json,,,,H6NJ08118,,,ocd-division/country:us/state:nj/cd:9,,
Vern Macon,Vern,,Macon,,,,,Republican Party,New Jersey State Senate District 1,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate District 1,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic/council_district:1,,
Maritza Davila,Maritza,,Davila,,,,,Nonpartisan,New Jersey State Senate At-Large,New Jersey City Legislator,NJ,Challenger,New Jersey State Senate At-Large,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/place:paterson,,
Lilisa Mimms,Lilisa,,Mimms,,,,,Nonpartisan,New Jersey State Senate At-Large,New Jersey City Legislator,NJ,Challenger,New Jersey State Senate At-Large,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/place:paterson,,
André Sayegh,André,,Sayegh,,,,,Nonpartisan,,New Jersey Mayor,NJ,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/place:paterson,,
Catherine Paura,Catherine,,Paura,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:ocean,,
Richard Berdnik,Richard,,Berdnik,,,,,Democratic Party,Passaic County Sheriff,Passaic County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:passaic,,
"Ernest D. Coursey, Sr.",Ernest,D.,Coursey,,,Sr.,,Democratic Party,New Jersey State Senate District 1,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic/council_district:1,,
Claire Gustafson,Claire,,Gustafson,,,,https://pbs.twimg.com/profile_images/1262361519729389569/X1gYD7hZ_400x400.jpg,Republican Party,U.S. House New Jersey District 1,U.S. Representative,NJ,Challenger,New Jersey Congressional District 1,,,,,,,,,n/a,,info@clairegustafson.com,n/a,,https://clairegustafson.com/,,,https://www.twitter.com/ClaireGForNJRep,,,,,,https://www.instagram.com/clairegustafsonfornj/,,,https://www.facebook.com/Gustafson2022,,,,,"P.O. Box 8722 Collingswood, NJ 08108",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/cd:1,,
Adam Kraemer,Adam,,Kraemer,,,,,Republican Party,,New Jersey County Executive,NJ,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:essex,,
"Stephen H. Pakradooni, Jr.",Stephen,H.,Pakradooni,,,Jr.,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:gloucester,,
