id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,senate_class,state_rank,lis_id
B001307,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001307.json,James,,Baird,,1945-06-04,M,R,,RepJimBaird,,,412777,,86013,,N00041954,/g/11gfd5wndr,H8IN04199,https://baird.house.gov,,,True,,,,4,2022,865.0,3.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:in/cd:4,1314 Longworth House Office Building,202-225-5037,,IN,4,False,1804,0.35,97.08,2.8,,,
B001306,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001306.json,Troy,,Balderson,,1962-01-16,M,R,,RepBalderson,,,412747,,102781,,N00042194,/m/09ry4tm,H8OH12180,https://balderson.house.gov,,,True,,,,6,2022,865.0,10.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:oh/cd:12,2429 Rayburn House Office Building,202-225-5355,,OH,12,False,3912,1.16,97.29,2.59,,,
B001299,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001299.json,Jim,,Banks,,1979-07-16,M,R,,RepJimBanks,RepJimBanks,,412702,89806,116801,21702,N00037185,/m/0j621nj,H6IN03229,https://banks.house.gov,,,True,,0.645,,6,2022,865.0,17.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:in/cd:3,1713 Longworth House Office Building,202-225-4436,,IN,3,False,1803,1.97,91.81,8.08,,,
B001282,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001282.json,Andy,,Barr,,1973-07-24,M,R,,RepAndyBarr,RepAndyBarr,RepAndyBarr,412541,61848,117290,21333,N00031233,/m/0ddc6r6,H0KY06104,https://barr.house.gov,,,True,,0.477,,10,2022,865.0,11.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ky/cd:6,2430 Rayburn House Office Building,202-225-4706,,KY,6,False,2106,1.27,97.41,2.48,,,
B001300,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001300.json,Nanette,,Barragán,,1976-09-15,F,D,,RepBarragan,CongresswomanBarragan,,412687,104730,166270,21703,N00037019,/g/11bx55ybbz,H6CA44103,https://barragan.house.gov,https://barragan.house.gov/feed/,,True,,-0.515,,6,2022,865.0,11.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:ca/cd:44,2246 Longworth House Office Building,202-225-8220,,CA,44,False,0644,1.27,98.83,1.06,,,
B001270,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001270.json,Karen,,Bass,,1953-10-03,F,D,,RepKarenBass,RepKarenBass,RepKarenBass,412404,62502,28963,21110,N00031877,/m/027g9m6,H0CA33117,https://bass.house.gov,https://bass.house.gov/rss.xml,,True,,-0.584,,12,2022,865.0,18.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:ca/cd:37,2021 Rayburn House Office Building,202-225-7084,,CA,37,False,0637,2.08,98.93,0.95,,,
B001281,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001281.json,Joyce,,Beatty,,1950-03-12,F,D,,RepBeatty,RepJoyceBeatty,,412565,67294,2427,21352,N00033904,/m/03lcwb,H2OH03125,https://beatty.house.gov,https://beatty.house.gov/rss.xml,,True,,-0.434,,10,2022,865.0,4.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:oh/cd:3,2303 Rayburn House Office Building,202-225-4324,,OH,3,False,3903,0.46,98.95,0.93,,,
B000668,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000668.json,Cliff,,Bentz,,1952-01-12,M,R,,RepBentz,,,456842,,,,N00045773,/m/0gfdsjb,H0OR02127,https://bentz.house.gov,,,True,,,,2,2022,865.0,4.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:or/cd:2,1239 Longworth House Office Building,202-225-6730,,OR,2,False,4102,0.46,97.08,2.81,,,
B001287,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001287.json,Ami,,Bera,,1965-03-02,M,D,,RepBera,RepAmiBera,repamibera,412512,1033636,120030,21304,N00030717,/m/0dgqnts,H0CA03078,https://bera.house.gov,https://bera.house.gov/rss.xml,,True,,-0.235,,10,2022,865.0,37.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:ca/cd:7,172 Cannon House Office Building,202-225-5716,,CA,7,False,0607,4.28,98.91,0.97,,,
B001301,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001301.json,Jack,,Bergman,,1947-02-02,M,R,,RepJackBergman,RepJackBergman,RepJackBergman,412709,1020529,170172,21704,N00039533,/m/05b2l3v,H6MI01226,https://bergman.house.gov,,,True,,0.426,,6,2022,865.0,6.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:mi/cd:1,566 Cannon House Office Building,202-225-4735,,MI,1,False,2601,0.69,97.19,2.69,,,
B001292,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001292.json,Donald,,Beyer,,1950-06-20,M,D,,RepDonBeyer,RepDonBeyer,,412657,21141,1707,21554,N00036018,/m/053g16,H4VA08224,https://beyer.house.gov,,,True,,-0.386,,8,2022,865.0,3.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,202-225-4376,,VA,8,False,5108,0.35,99.65,0.23,,,
B000740,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000740.json,Stephanie,,Bice,,1973-11-11,F,R,,RepBice,,,456841,,,,N00044579,/g/11h2hmkrv8,H0OK05205,https://bice.house.gov,,,True,,,,2,2022,865.0,3.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ok/cd:5,1223 Longworth House Office Building,202-225-2132,,OK,5,False,4005,0.35,97.43,2.45,,,
B001302,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001302.json,Andy,,Biggs,,1958-11-07,M,R,,RepAndyBiggsAZ,RepAndyBiggs,,412683,105145,28088,21705,N00039293,/m/0_1m23v,H6AZ05083,https://biggs.house.gov,https://biggs.house.gov/rss.xml,,True,,0.85,,6,2022,865.0,11.0,1.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:az/cd:5,171 Cannon House Office Building,202-225-2635,,AZ,5,False,0405,1.27,71.06,28.82,,,
B001257,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001257.json,Gus,,Bilirakis,,1963-02-08,M,R,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,412250,1022873,17318,20758,N00027462,/m/0dy3z1,H6FL09070,https://bilirakis.house.gov,https://bilirakis.house.gov/rss.xml,,True,,0.406,,18,2022,865.0,7.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:fl/cd:12,2354 Rayburn House Office Building,202-225-5755,,FL,12,False,1212,0.81,96.71,3.17,,,
B001311,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001311.json,Dan,,Bishop,,1964-07-01,M,R,,RepDanBishop,,,412844,,92423,,N00044335,/m/013bg9xz,H0NC09187,https://danbishop.house.gov,,,True,,,,4,2022,865.0,29.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:nc/cd:9,1207 Longworth House Office Building,202-225-1976,,NC,9,False,3709,3.35,84.6,15.28,,,
B000490,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000490.json,Sanford,D.,Bishop,Jr.,1947-02-04,M,D,,SanfordBishop,sanfordbishop,RepSanfordBishop,400030,26194,26817,29339,N00002674,/m/02554k,H2GA02031,https://bishop.house.gov,https://bishop.house.gov/rss.xml,,True,,-0.283,,30,2022,865.0,8.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,202-225-3631,,GA,2,False,1302,0.92,98.13,1.75,,,
B000574,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000574.json,Earl,,Blumenauer,,1948-08-16,M,D,,BlumenauerMedia,,RepBlumenauer,400033,43809,367,29588,N00007727,/m/033tw8,H6OR03064,https://blumenauer.house.gov,https://blumenauer.house.gov/rss.xml,,True,,-0.427,,28,2022,865.0,12.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,202-225-4811,,OR,3,False,4103,1.39,98.71,1.18,,,
B001303,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001303.json,Lisa,,Blunt Rochester,,1962-02-10,F,D,,RepLBR,Rep.BluntRochester,,412689,104772,173249,21706,N00038414,/g/11c328y56v,H6DE00206,https://bluntrochester.house.gov,,,True,,-0.335,,6,2022,865.0,1.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:de/cd:1,1724 Longworth House Office Building,202-225-4165,,DE,At-Large,True,1000,0.12,98.84,1.04,,,
B000825,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000825.json,Lauren,,Boebert,,1986-12-15,F,R,,RepBoebert,,,456805,,,,N00045974,/g/11j2v06x6p,H0CO03165,https://boebert.house.gov,,,True,,,,2,2022,865.0,22.0,1.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:co/cd:3,1609 Longworth House Office Building,202-225-4761,,CO,3,False,0803,2.54,75.33,24.55,,,
B001278,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001278.json,Suzanne,,Bonamici,,1954-10-14,F,D,,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,412501,63966,59641,21198,N00033474,/m/02q453x,H2OR01133,https://bonamici.house.gov,https://bonamici.house.gov/rss.xml,,True,,-0.394,,12,2022,865.0,0.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:or/cd:1,2231 Rayburn House Office Building,202-225-0855,,OR,1,False,4101,0.0,98.84,1.04,,,
B001295,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001295.json,Mike,,Bost,,1960-12-30,M,R,,RepBost,RepBost,,412629,76176,6302,21519,N00035420,/m/0kry42,H4IL12060,https://bost.house.gov,,,True,,0.289,,8,2022,865.0,33.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:il/cd:12,1211 Longworth House Office Building,202-225-5661,,IL,12,False,1712,3.82,94.44,5.44,,,
B001312,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001312.json,Carolyn,,Bourdeaux,,1970-06-03,F,D,,RepBourdeaux,,,456812,,178540,,N00041791,/g/11fgm1glqj,H8GA07201,https://bourdeaux.house.gov,,,True,,,,2,2022,865.0,1.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ga/cd:7,1319 Longworth House Office Building,202-225-4272,,GA,7,False,1307,0.12,97.22,2.67,,,
B001223,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001223.json,Jamaal,,Bowman,,1976-04-01,M,D,,RepBowman,,,456839,,,,N00044790,/g/11fsgvc0xx,H0NY16143,https://bowman.house.gov,,,True,,,,2,2022,865.0,10.0,1.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:ny/cd:16,1605 Longworth House Office Building,202-225-2464,,NY,16,False,3616,1.16,96.01,3.87,,,
B001296,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001296.json,Brendan,,Boyle,,1977-02-06,M,D,,CongBoyle,CongressmanBoyle,,412652,76428,47357,21548,N00035307,/m/04f4fjk,H4PA13199,https://boyle.house.gov,https://boyle.house.gov/rss.xml,,True,,-0.4,,8,2022,865.0,5.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:pa/cd:2,1133 Longworth House Office Building,202-225-6111,,PA,2,False,4202,0.58,98.72,1.17,,,
B000755,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000755.json,Kevin,,Brady,,1955-04-11,M,R,,RepKevinBrady,kevinbrady,KBrady8,400046,45749,361,29760,N00005883,/m/03tq00,H6TX08100,https://kevinbrady.house.gov,,,True,,0.521,,26,2022,865.0,188.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,202-225-4901,,TX,8,False,4808,21.73,96.59,3.26,,,
B001274,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001274.json,Mo,,Brooks,,1954-04-29,M,R,,RepMoBrooks,RepMoBrooks,RepMoBrooks,412395,94888,121610,21193,N00030910,/m/0c3xdjf,H0AL05163,https://brooks.house.gov,https://brooks.house.gov/rss.xml,,True,,0.646,,12,2022,865.0,26.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:al/cd:5,2185 Rayburn House Office Building,202-225-4801,,AL,5,False,0105,3.01,86.09,13.79,,,
B001313,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001313.json,Shontel,,Brown,,1975-06-24,F,D,,RepShontelBrown,,,456863,,,,,,,https://shontelbrown.house.gov,,,True,,,,2,2022,507.0,0.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:oh/cd:11,,,,OH,11,False,3911,0.0,99.8,0.2,,,
B001304,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,,Brown,,1961-11-21,M,D,,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,412707,1029537,19344,21707,N00036999,/m/09v6fg,H6MD04209,https://anthonybrown.house.gov,,,True,,-0.344,,6,2022,865.0,19.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:md/cd:4,1323 Longworth House Office Building,202-225-8699,,MD,4,False,2404,2.2,98.1,1.78,,,
B001285,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001285.json,Julia,,Brownley,,1952-08-28,F,D,,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,412516,79783,59904,21308,N00034254,/m/027z42z,H2CA00120,https://juliabrownley.house.gov,https://juliabrownley.house.gov/category/press-releases/feed/,,True,,-0.288,,10,2022,865.0,8.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:ca/cd:26,2262 Rayburn House Office Building,202-225-5811,,CA,26,False,0626,0.92,98.95,0.94,,,
B001260,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001260.json,Vern,,Buchanan,,1951-05-08,M,R,,VernBuchanan,CongressmanBuchanan,vernbuchanan,412196,1021626,66247,20709,N00027626,/m/0gtjsp,H6FL13148,https://buchanan.house.gov,https://buchanan.house.gov/rss.xml,,True,,0.362,,16,2022,865.0,16.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:fl/cd:16,2110 Rayburn House Office Building,202-225-5015,,FL,16,False,1216,1.85,96.8,3.08,,,
B001297,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001297.json,Ken,,Buck,,1959-02-16,M,R,,RepKenBuck,repkenbuck,,412619,78285,125319,21510,N00030829,/m/05zzjd2,S0CO00237,https://buck.house.gov,https://buck.house.gov/rss.xml,,True,,0.716,,8,2022,865.0,33.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:co/cd:4,2455 Rayburn House Office Building,202-225-4676,,CO,4,False,0804,3.82,83.05,16.83,,,
B001275,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001275.json,Larry,,Bucshon,,1962-05-31,M,R,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,412427,61837,120335,21132,N00031227,/m/0dd9k_y,H0IN08114,https://bucshon.house.gov,,,True,,0.41,,12,2022,865.0,22.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:in/cd:8,2313 Rayburn House Office Building,202-225-4636,,IN,8,False,1808,2.54,97.14,2.74,,,
B001305,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001305.json,Ted,,Budd,,1971-10-21,M,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,21708,N00039551,/g/11c2nmnsj0,H6NC13129,https://budd.house.gov,,,True,,0.653,,6,2022,865.0,96.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:nc/cd:13,103 Cannon House Office Building,202-225-4531,,NC,13,False,3713,11.1,92.4,7.47,,,
B001309,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001309.json,Tim,,Burchett,,1964-08-25,M,R,,RepTimBurchett,,,412817,,24379,,N00041594,/m/03yt07,H8TN02119,https://burchett.house.gov,,,True,,,,4,2022,865.0,31.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:tn/cd:2,1122 Longworth House Office Building,202-225-5435,,TN,2,False,4702,3.58,85.52,14.35,,,
B001248,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001248.json,Michael,C.,Burgess,,1950-12-23,M,R,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,400052,1003620,50120,20355,N00025219,/m/03tq8_,H2TX26093,https://burgess.house.gov,https://burgess.house.gov/news/rss.aspx,,True,,0.574,,20,2022,865.0,28.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:tx/cd:26,2161 Rayburn House Office Building,202-225-7772,,TX,26,False,4826,3.24,91.7,8.18,,,
B001224,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001224.json,Cori,,Bush,,1976-07-21,F,D,,RepCori,,,456829,,,,N00039373,/g/11cntkcbkt,H8MO01143,https://bush.house.gov,,,True,,,,2,2022,865.0,7.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:mo/cd:1,1016 Longworth House Office Building,202-225-2406,,MO,1,False,2901,0.81,94.04,5.84,,,
B001286,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001286.json,Cheri,,Bustos,,1961-10-17,F,D,,RepCheri,RepCheri,RepCheri,412537,63949,134964,21329,N00033390,/m/0jwwtrm,H2IL17071,https://bustos.house.gov,https://bustos.house.gov/category/press-release/feed/,,True,,-0.239,,10,2022,865.0,36.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:il/cd:17,1233 Longworth House Office Building,202-225-5905,,IL,17,False,1717,4.16,97.34,2.54,,,
B001251,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001251.json,G.,K.,Butterfield,,1947-04-27,M,D,,GKButterfield,congressmangkbutterfield,GKBNC01,400616,1013540,41077,20340,N00027035,/m/03g_pq,H4NC01046,https://butterfield.house.gov,https://butterfield.house.gov/rss.xml,,True,,-0.404,,20,2022,865.0,19.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,202-225-3101,,NC,1,False,3701,2.2,98.58,1.3,,,
C000059,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000059.json,Ken,,Calvert,,1953-06-08,M,R,,KenCalvert,70063393423,RepKenCalvert,400057,26709,26777,29323,N00007099,/m/024xl1,H2CA37023,https://calvert.house.gov,https://calvert.house.gov/rss.xml,,True,,0.349,,30,2022,865.0,16.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,202-225-1986,,CA,42,False,0642,1.85,95.73,4.15,,,
C001039,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001039.json,Kat,,Cammack,,1988-02-16,F,R,,RepKatCammack,,,456806,,,,N00045978,/g/11fsp_lppx,H0FL03175,https://cammack.house.gov,,,True,,,,2,2022,865.0,10.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:fl/cd:3,1626 Longworth House Office Building,202-225-5744,,FL,3,False,1203,1.16,90.34,9.54,,,
C001112,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001112.json,Salud,,Carbajal,,1964-11-18,M,D,,RepCarbajal,repsaludcarbajal,repcarbajal,412686,104728,81569,21709,N00037015,/g/11c2q53dct,H6CA24303,https://carbajal.house.gov,,,True,,-0.298,,6,2022,865.0,1.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:ca/cd:24,2331 Rayburn House Office Building,202-225-3601,,CA,24,False,0624,0.12,99.07,0.81,,,
C001097,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001097.json,Tony,,Cárdenas,,1963-03-31,M,D,,RepCardenas,repcardenas,repcardenas,412517,63934,9754,21309,N00033373,/m/0cgzsw,H2CA28113,https://cardenas.house.gov,,,True,,-0.385,,10,2022,865.0,14.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:ca/cd:29,2438 Rayburn House Office Building,202-225-6131,,CA,29,False,0629,1.62,98.82,1.06,,,
C001126,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001126.json,Mike,,Carey,,1971-03-13,M,R,,RepMikeCarey,,,456864,,,,,,,https://carey.house.gov,,,True,,,,2,2022,507.0,3.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:oh/cd:15,,,,OH,15,False,3915,0.59,95.83,4.17,,,
C001054,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001054.json,Jerry,,Carl,,1958-06-17,M,R,,RepJerryCarl,,,456799,,,,N00044245,/g/11j2j1brnb,H0AL01055,https://carl.house.gov,,,True,,,,2,2022,865.0,4.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:al/cd:1,1330 Longworth House Office Building,202-225-4931,,AL,1,False,0101,0.46,96.61,3.27,,,
