Researcher,id,name,State,official biography,biography,facebook,Facebook (Official),Facebook (Personal),Facebook (Campaign),twitter,Twitter (Official),Twitter (Personal),Twitter (Campaign),current_party,current_district,current_chamber,title,status,given_name,family_name,gender,email,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,youtube,instagram,Instagram (Official),Instagram (Personal),Instagram (Campaign),Campaign mailing address,Campaign phone,LinkedIn
,n/a,John Dennis,CA,,,n/a,n/a,https://www.facebook.com/JohnhDennis,https://www.facebook.com/johndennis2020,n/a,n/a,, https://www.twitter.com/RealJohnDennis,Republican Party,U.S. House California District 11,U.S. House California District 11,,Candidate,John,Dennis,Male,info@johndennis.com,,n/a,,n/a,https://www.johndennisforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/realjohndennis/,"1592 Union Street Box 347, San Francisco, CA 94123",,https://www.linkedin.com/in/john-dennis-aa1b876/
,n/a,Nancy Pelosi,CA,,,n/a,n/a,,https://www.facebook.com/pelosiforcongress/,n/a,n/a,, https://www.twitter.com/TeamPelosi,Democratic Party,U.S. House California District 11,U.S. House California District 11,,Candidate,Nancy,Pelosi,Female,teampelosi@gmail.com,,n/a,,n/a,https://www.pelosiforcongress.org,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/team_pelosi/,"1459 18th St #359, San Francisco, CA 94107",,
,n/a,Barbara Lee,CA,,,n/a,n/a,,https://www.facebook.com/BarbaraLeeforCongress/,n/a,n/a,, https://www.twitter.com/BLeeForCongress,Democratic Party,U.S. House California District 12,U.S. House California District 12,,Candidate,Barbara,Lee,Female,blee.campaign@gmail.com,,n/a,,n/a,https://barbaraleeforcongress.org,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/bleeforcongress/,"333 HEGENBERGER ROAD, SUITE 369, OAKLAND, CA 94621",510-850-5283,
,n/a,Stephen Slauson,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 12,U.S. House California District 12,,Candidate,Stephen,Slauson,Male,,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Barbara Lee,CA,,,n/a,n/a,,https://www.facebook.com/BarbaraLeeforCongress/,n/a,n/a,, https://www.twitter.com/BLeeForCongress,Democratic Party,U.S. House California District 12,U.S. House California District 12,,Candidate,Barbara,Lee,Female,blee.campaign@gmail.com,,n/a,,n/a,https://barbaraleeforcongress.org,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/bleeforcongress/,"333 HEGENBERGER ROAD, SUITE 369, OAKLAND, CA 94621",510-850-5283,
,n/a,Stephen Slauson,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 12,U.S. House California District 12,,Candidate,Stephen,Slauson,Male,,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Adam Gray,CA,,,n/a,n/a,https://www.facebook.com/adam.gray.357,https://www.facebook.com/AdamGrayAD21,n/a,n/a,,,Democratic Party,U.S. House California District 13,U.S. House California District 13,,Candidate,Adam,Gray,Male,,,n/a,,n/a,https://www.adamgrayforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/caadamgray/,"P.O. Box 1229, Merced, CA 95341",,https://www.linkedin.com/in/adam-gray-b8b7377/
,n/a,John Duarte,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 13,U.S. House California District 13,,Candidate,John,Duarte,,,,n/a,,n/a,https://www.johnduarteforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Adam Gray,CA,,,n/a,n/a,https://www.facebook.com/adam.gray.357,https://www.facebook.com/AdamGrayAD21,n/a,n/a,,,Democratic Party,U.S. House California District 13,U.S. House California District 13,,Candidate,Adam,Gray,Male,,,n/a,,n/a,https://www.adamgrayforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/caadamgray/,"P.O. Box 1229, Merced, CA 95341",,https://www.linkedin.com/in/adam-gray-b8b7377/
,n/a,John Duarte,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 13,U.S. House California District 13,,Candidate,John,Duarte,,,,n/a,,n/a,https://www.johnduarteforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Eric Swalwell,CA,,,n/a,n/a,,https://www.facebook.com/EricMSwalwell,n/a,n/a,, https://www.twitter.com/ericswalwell,Democratic Party,U.S. House California District 14,U.S. House California District 14,,Candidate,Eric,Swalwell,Male,info@ericswalwell.com,,n/a,,n/a,https://ericswalwell.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/ericswalwell/,"Post Office Box 2847, Dublin, CA 94568",925-230-8567,https://www.linkedin.com/in/eric-swalwell-2346aa4b/
,n/a,Alison Hayden,CA,,,n/a,n/a,,,n/a,n/a, https://www.twitter.com/Elled26, https://www.twitter.com/Alison4Congress,Republican Party,U.S. House California District 14,U.S. House California District 14,,Candidate,Alison,Hayden,Female,,,n/a,,n/a,https://alison4congress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/alisonhayden2020,,,https://www.linkedin.com/in/alison-hayden-42aa70a
,n/a,Eric Swalwell,CA,,,n/a,n/a,,https://www.facebook.com/EricMSwalwell,n/a,n/a,, https://www.twitter.com/ericswalwell,Democratic Party,U.S. House California District 14,U.S. House California District 14,,Candidate,Eric,Swalwell,Male,info@ericswalwell.com,,n/a,,n/a,https://ericswalwell.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/ericswalwell/,"Post Office Box 2847, Dublin, CA 94568",925-230-8567,https://www.linkedin.com/in/eric-swalwell-2346aa4b/
,n/a,Alison Hayden,CA,,,n/a,n/a,,,n/a,n/a, https://www.twitter.com/Elled26, https://www.twitter.com/Alison4Congress,Republican Party,U.S. House California District 14,U.S. House California District 14,,Candidate,Alison,Hayden,Female,,,n/a,,n/a,https://alison4congress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/alisonhayden2020,,,https://www.linkedin.com/in/alison-hayden-42aa70a
,n/a,Kevin Mullin,CA,,,n/a,n/a,https://www.facebook.com/kevincmullin,https://www.facebook.com/kevinmullinforcongress/,n/a,n/a,, https://www.twitter.com/kevinmullin,Democratic Party,U.S. House California District 15,U.S. House California District 15,,Candidate,Kevin,Mullin,Male,,,n/a,,n/a,https://www.kevinmullinforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/kevin.mullin,,"P.O. Box 869, Belmont, CA 94002",,https://www.linkedin.com/in/kevin-mullin-516a281/
,n/a,David Canepa,CA,,,n/a,n/a,https://www.facebook.com/davidcanepa1975,https://www.facebook.com/DavidCanepaCA/,n/a,n/a,, https://www.twitter.com/davidcanepa,Democratic Party,U.S. House California District 15,U.S. House California District 15,,Candidate,David,Canepa,Male,info@davidcanepa.com,,n/a,,n/a,https://davidcanepa.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/davidcanepa/,"1618 Sullivan Ave. #497, Daly City, CA 94015‪",415-506-8393‬,https://www.linkedin.com/in/davidcanepa/
,n/a,Kevin Mullin,CA,,,n/a,n/a,https://www.facebook.com/kevincmullin,https://www.facebook.com/kevinmullinforcongress/,n/a,n/a,, https://www.twitter.com/kevinmullin,Democratic Party,U.S. House California District 15,U.S. House California District 15,,Candidate,Kevin,Mullin,Male,,,n/a,,n/a,https://www.kevinmullinforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/kevin.mullin,,"P.O. Box 869, Belmont, CA 94002",,https://www.linkedin.com/in/kevin-mullin-516a281/
,n/a,David Canepa,CA,,,n/a,n/a,https://www.facebook.com/davidcanepa1975,https://www.facebook.com/DavidCanepaCA/,n/a,n/a,, https://www.twitter.com/davidcanepa,Democratic Party,U.S. House California District 15,U.S. House California District 15,,Candidate,David,Canepa,Male,info@davidcanepa.com,,n/a,,n/a,https://davidcanepa.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/davidcanepa/,"1618 Sullivan Ave. #497, Daly City, CA 94015‪",415-506-8393‬,https://www.linkedin.com/in/davidcanepa/
,n/a,Anna Eshoo,CA,,,n/a,n/a,,https://www.facebook.com/Eshoo4Congress,n/a,n/a,, https://www.twitter.com/Eshoo4Congress,Democratic Party,U.S. House California District 16,U.S. House California District 16,,Candidate,Anna,Eshoo,Female,anna@annaeshoo4congress.com,,n/a,,n/a,https://annaeshoo4congress.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/annageshoo/,"555 BRYANT STREET BOX 335, PALO ALTO, CA 94301",650-328-3700,https://www.linkedin.com/in/anna-eshoo-b0392095/
,n/a,Rishi Kumar,CA,,,n/a,n/a,https://www.facebook.com/rishi,,n/a,n/a,, https://www.twitter.com/RishiKumar1,Democratic Party,U.S. House California District 16,U.S. House California District 16,,Candidate,Rishi,Kumar,Male,voterishikumar@gmail.com,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/c/RishiKumarforUSCongressCA18,n/a,n/a,,https://www.instagram.com/rishikumarforcongress/,"2200 Laurelwood Road, Santa Clara, CA 95054",408-805-5993,https://www.linkedin.com/in/rickkumar/
,n/a,Anna Eshoo,CA,,,n/a,n/a,,https://www.facebook.com/Eshoo4Congress,n/a,n/a,, https://www.twitter.com/Eshoo4Congress,Democratic Party,U.S. House California District 16,U.S. House California District 16,,Candidate,Anna,Eshoo,Female,anna@annaeshoo4congress.com,,n/a,,n/a,https://annaeshoo4congress.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/annageshoo/,"555 BRYANT STREET BOX 335, PALO ALTO, CA 94301",650-328-3700,https://www.linkedin.com/in/anna-eshoo-b0392095/
,n/a,Rishi Kumar,CA,,,n/a,n/a,https://www.facebook.com/rishi,,n/a,n/a,, https://www.twitter.com/RishiKumar1,Democratic Party,U.S. House California District 16,U.S. House California District 16,,Candidate,Rishi,Kumar,Male,voterishikumar@gmail.com,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/c/RishiKumarforUSCongressCA18,n/a,n/a,,https://www.instagram.com/rishikumarforcongress/,"2200 Laurelwood Road, Santa Clara, CA 95054",408-805-5993,https://www.linkedin.com/in/rickkumar/
,n/a,Ro Khanna,CA,,,n/a,n/a,https://www.facebook.com/profile.php?id=316995,https://www.facebook.com/RoKhannaUSA,n/a,n/a,, https://www.twitter.com/RoKhanna,Democratic Party,U.S. House California District 17,U.S. House California District 17,,Candidate,Ro,Khanna,Male,ro@rokhanna.com,,n/a,,n/a,https://www.rokhanna.com,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/c/RoKhanna,n/a,n/a,,https://www.instagram.com/rokhannausa/,"PO Box 3513, Santa Clara, CA 95051",408-458-9183,https://www.linkedin.com/in/ro-khanna-72a8013/
,n/a,Ritesh Tandon,CA,,,n/a,n/a,https://www.facebook.com/rtandon12,https://www.facebook.com/TandonforCongress,n/a,n/a,,,Republican Party,U.S. House California District 17,U.S. House California District 17,,Candidate,Ritesh,Tandon,Male,ritesh@tandonforcongress.com,,n/a,,n/a,https://www.tandonforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/tandonforcongress/,"P.O. Box 730143, San Jose, CA 95173",,https://www.linkedin.com/in/riteshtandonprofile/
,n/a,Ro Khanna,CA,,,n/a,n/a,https://www.facebook.com/profile.php?id=316995,https://www.facebook.com/RoKhannaUSA,n/a,n/a,, https://www.twitter.com/RoKhanna,Democratic Party,U.S. House California District 17,U.S. House California District 17,,Candidate,Ro,Khanna,Male,ro@rokhanna.com,,n/a,,n/a,https://www.rokhanna.com,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/c/RoKhanna,n/a,n/a,,https://www.instagram.com/rokhannausa/,"PO Box 3513, Santa Clara, CA 95051",408-458-9183,https://www.linkedin.com/in/ro-khanna-72a8013/
,n/a,Ritesh Tandon,CA,,,n/a,n/a,https://www.facebook.com/rtandon12,https://www.facebook.com/TandonforCongress,n/a,n/a,,,Republican Party,U.S. House California District 17,U.S. House California District 17,,Candidate,Ritesh,Tandon,Male,ritesh@tandonforcongress.com,,n/a,,n/a,https://www.tandonforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/tandonforcongress/,"P.O. Box 730143, San Jose, CA 95173",,https://www.linkedin.com/in/riteshtandonprofile/
,n/a,Zoe Lofgren,CA,,,n/a,n/a,https://www.facebook.com/zoe.lofgren.1,https://www.facebook.com/zoelofgrenforcongress,n/a,n/a,, https://www.twitter.com/ZoeLofgren,Democratic Party,U.S. House California District 18,U.S. House California District 18,,Candidate,Zoe,Lofgren,Female,info@zoelofgren.com,,n/a,,n/a,https://zoelofgren.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"PO Box 913, San Jose, CA 95113",202-821-5203,https://www.linkedin.com/in/zoe-lofgren-036458123/
,n/a,Peter Hernandez,CA,,,n/a,n/a,,https://www.facebook.com/peterhernandezforcongress/,n/a,n/a,,,Republican Party,U.S. House California District 18,U.S. House California District 18,,Candidate,Peter,Hernandez,,,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Zoe Lofgren,CA,,,n/a,n/a,https://www.facebook.com/zoe.lofgren.1,https://www.facebook.com/zoelofgrenforcongress,n/a,n/a,, https://www.twitter.com/ZoeLofgren,Democratic Party,U.S. House California District 18,U.S. House California District 18,,Candidate,Zoe,Lofgren,Female,info@zoelofgren.com,,n/a,,n/a,https://zoelofgren.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"PO Box 913, San Jose, CA 95113",202-821-5203,https://www.linkedin.com/in/zoe-lofgren-036458123/
,n/a,Peter Hernandez,CA,,,n/a,n/a,,https://www.facebook.com/peterhernandezforcongress/,n/a,n/a,,,Republican Party,U.S. House California District 18,U.S. House California District 18,,Candidate,Peter,Hernandez,,,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Jimmy Panetta,CA,,,n/a,n/a,,https://www.facebook.com/JimmyPanettaForCongress/,n/a,n/a,, https://www.twitter.com/JimmyPanetta,Democratic Party,U.S. House California District 19,U.S. House California District 19,,Candidate,Jimmy,Panetta,Male,info@jimmypanetta.com,,n/a,,n/a,https://www.jimmypanetta.com,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UC9zCFM1whT52R4CeHhcUr5g,n/a,n/a,,https://www.instagram.com/jimmypanettaforcongress/,"Post Office Box 103, Carmel Valley, CA 93924",831-238-7742,
,n/a,Jeff Gorman,CA,,,n/a,n/a,https://www.facebook.com/jeffrey.gorman.98,,n/a,n/a, https://www.twitter.com/GormanCongress, https://www.twitter.com/JeffGormanMRY,Republican Party,U.S. House California District 19,U.S. House California District 19,,Candidate,Jeff,Gorman,Male,,,n/a,,n/a,https://gormanforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/accounts/jeffgorman4congress/,"215 West Franklin Street Suite 312, Monterey, CA 93940",,https://www.linkedin.com/in/jeffgorman831/
,n/a,Jimmy Panetta,CA,,,n/a,n/a,,https://www.facebook.com/JimmyPanettaForCongress/,n/a,n/a,, https://www.twitter.com/JimmyPanetta,Democratic Party,U.S. House California District 19,U.S. House California District 19,,Candidate,Jimmy,Panetta,Male,info@jimmypanetta.com,,n/a,,n/a,https://www.jimmypanetta.com,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UC9zCFM1whT52R4CeHhcUr5g,n/a,n/a,,https://www.instagram.com/jimmypanettaforcongress/,"Post Office Box 103, Carmel Valley, CA 93924",831-238-7742,
,n/a,Jeff Gorman,CA,,,n/a,n/a,https://www.facebook.com/jeffrey.gorman.98,,n/a,n/a, https://www.twitter.com/GormanCongress, https://www.twitter.com/JeffGormanMRY,Republican Party,U.S. House California District 19,U.S. House California District 19,,Candidate,Jeff,Gorman,Male,,,n/a,,n/a,https://gormanforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/accounts/jeffgorman4congress/,"215 West Franklin Street Suite 312, Monterey, CA 93940",,https://www.linkedin.com/in/jeffgorman831/
,n/a,Jared Huffman,CA,,,n/a,n/a,,https://www.facebook.com/jared.huffman.9,n/a,n/a,, https://www.twitter.com/JaredHuffman,Democratic Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Jared,Huffman,Male,info@jaredhuffman.com,,n/a,,n/a,https://www.jaredhuffman.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"P.O. Box 664, Petaluma, CA 94953",,
,n/a,Beth Hampson,CA,,,n/a,n/a,,,n/a,n/a,, https://www.twitter.com/BethHampsonCA,Democratic Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Beth,Hampson,,info@bethhampson.com,,n/a,,n/a,https://www.bethhampson.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"6366 Commerce Boulevard #345, Rohnert Park, CA 94928",,https://www.linkedin.com/in/bethhampson/
,n/a,Douglas Brower,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Douglas,Brower,,,,n/a,,n/a,http://04861d0.wcomhost.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Chris Coulombe,CA,,,n/a,n/a,,https://www.facebook.com/christocongress,n/a,n/a,, https://www.twitter.com/ChrisToCongress,Republican Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Chris,Coulombe,Male,,,n/a,,n/a,https://www.christocongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/christocongress/,,,https://www.linkedin.com/in/chris-coulombe-3a1457aa/
,n/a,Darian Elizondo,CA,,,n/a,n/a,,,n/a,n/a,, https://www.twitter.com/DARIAN5,Republican Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Darian,Elizondo,,delizondo4congress@gmail.com,,n/a,,n/a,https://www.elizondoforcongress2022.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Archimedes Ramirez,CA,,,n/a,n/a,,,n/a,n/a,,,Republican Party,U.S. House California District 2,U.S. House California District 2,,Candidate,Archimedes,Ramirez,,,,n/a,,n/a,https://www.archimedesforcongress.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,,
,n/a,Kevin McCarthy,CA,,,n/a,n/a,https://www.facebook.com/kevin.mccarthy.1690671,https://www.facebook.com/kevinomccarthy,n/a,n/a,, https://www.twitter.com/kevinomccarthy,Republican Party,U.S. House California District 20,U.S. House California District 20,,Candidate,Kevin,McCarthy,Male,,,n/a,,n/a,https://mccarthyforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"PO Box 12667, Bakersfield, CA 93389",661-324-6914,https://www.linkedin.com/in/repkevinmccarthy/
,n/a,Marisa Wood,CA,,,n/a,n/a,,https://www.facebook.com/marisawoodforcongress,n/a,n/a,, https://www.twitter.com/MarisaWoodCA,Democratic Party,U.S. House California District 20,U.S. House California District 20,,Candidate,Marisa,Wood,Female,info@marisawoodforcongress.com,,n/a,,n/a,https://marisawoodforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UCwOBst_5AQ3e-DRgBAdDCkA,n/a,n/a,,https://www.instagram.com/marisawoodforcongress/,"P.O. Box 12103, Bakersfield, CA 93389",,https://www.linkedin.com/in/marisa-wood-47b688225/
,n/a,Kevin McCarthy,CA,,,n/a,n/a,https://www.facebook.com/kevin.mccarthy.1690671,https://www.facebook.com/kevinomccarthy,n/a,n/a,, https://www.twitter.com/kevinomccarthy,Republican Party,U.S. House California District 20,U.S. House California District 20,,Candidate,Kevin,McCarthy,Male,,,n/a,,n/a,https://mccarthyforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"PO Box 12667, Bakersfield, CA 93389",661-324-6914,https://www.linkedin.com/in/repkevinmccarthy/
,n/a,Marisa Wood,CA,,,n/a,n/a,,https://www.facebook.com/marisawoodforcongress,n/a,n/a,, https://www.twitter.com/MarisaWoodCA,Democratic Party,U.S. House California District 20,U.S. House California District 20,,Candidate,Marisa,Wood,Female,info@marisawoodforcongress.com,,n/a,,n/a,https://marisawoodforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UCwOBst_5AQ3e-DRgBAdDCkA,n/a,n/a,,https://www.instagram.com/marisawoodforcongress/,"P.O. Box 12103, Bakersfield, CA 93389",,https://www.linkedin.com/in/marisa-wood-47b688225/
,n/a,Jim Costa,CA,,,n/a,n/a,,https://www.facebook.com/CostaForCongress,n/a,n/a,,,Democratic Party,U.S. House California District 21,U.S. House California District 21,,Candidate,Jim,Costa,Male,info@jimcosta.com,,n/a,,n/a,https://www.jimcosta.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,"2037 W Bullard #355, Fresno, CA 93711",559-252-2004,
,n/a,Michael Maher,CA,,,n/a,n/a,,https://www.facebook.com/Maher4Congress,n/a,n/a,, https://www.twitter.com/maher4congress,Republican Party,U.S. House California District 21,U.S. House California District 21,,Candidate,Michael,Maher,Male,,,n/a,,n/a,https://www.michaelmaher.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/maher4congress/,"P.O. Box 490, Kingsburg CA 93631",,
