fieldname,Data type,Label,Helper text,Panel,Notes for PBC,fec_ga (50),us.io_congress_ga (34),crp_ga (21),pp_house/senate_ga (52),bp_officeholder (37),bp_candidates (48),openstates_congress/ga (25),CTMirror,CTCL
,,,,,,,,,,,Candidate ID,,,
,,,,,,,,,,,Election date,,,
,,,,,,,,,,,Stage canceled?,,,
,,,,,,,,,,,Candidate status,,,
,,,,,,,,,,,Write-in?,,,
,,,,,,,,,,,Stage is ranked choice?,,,
,,,,,,,,,,,Ranked-choice voting round,,,
,,,,,,,,,,,Votes for,,,
,,,,,,,,,,,Votes against,,,
,,,,,,,,,,,Partisan primary?,,,
,,,,,,,,legislator.first_elected,,,,,,
,,,,,,,,legislator.exit_code,,,,,,
,,,,,,,,legislator.comments,,,,,,
,,,,,,,,,results.members.cook_pvi,,,,,
,,,,,,,,,results.members.dw_nominate,,,,,
,,,,,,,,,results.members.ideal_point,,,,,
,,,,,,,,,results.members.seniority,,,,,
,,,,,,,,,results.members.next_election,,,,,
,,,,,,,,,results.members.total_votes,,,,,
,,,,,,,,,results.members.missed_votes,,,,,
,,,,,,,,,results.members.total_present,,,,,
,,,,,,,,,results.members.last_updated,,,,,
,,,,,,,,,results.members.at_large,,,,,
,,,,,,,,,results.members.geoid,,,,,
,,,,,,,,,results.members.missed_votes_pct,,,,,
,,,,,,,,,results.members.votes_with_party_pct,,,,,
,,,,,,,,,results.members.votes_against_party_pct,,,,,
,,,,,,,,,results.members.leadership_role,,,,,
,,,,,,Individual_Itemized_Contribution,,,,,,,,
,,,,,,Individual_Unitemized_Contribution,,,,,,,,
,,,,,,Individual_Contribution,,,,,,,,
,,,,,,Other_Committee_Contribution,,,,,,,,
,,,,,,Party_Committee_Contribution,,,,,,,,
,,,,,,Cand_Contribution,,,,,,,,
,,,,,,Total_Contribution,,,,,,,,
,,,,,,Transfer_From_Other_Auth_Committee,,,,,,,,
,,,,,,Cand_Loan,,,,,,,,
,,,,,,Other_Loan,,,,,,,,
,,,,,,Total_Loan,,,,,,,,
,,,,,,Offsets_To_Operating_Expenditure,,,,,,,,
,,,,,,Offsets_To_Fundraising,,,,,,,,
,,,,,,Offsets_To_Leagal_Accounting,,,,,,,,
,,,,,,Other_Receipts,,,,,,,,
,,,,,,Operating_Expenditure,,,,,,,,
,,,,,,Exempt_Legal_Accounting_Disbursement,,,,,,,,
,,,,,,Fundraising_Disbursement,,,,,,,,
,,,,,,Transfer_To_Other_Auth_Committee,,,,,,,,
,,,,,,Cand_Loan_Repayment,,,,,,,,
,,,,,,Other_Loan_Repayment,,,,,,,,
,,,,,,Total_Loan_Repayment,,,,,,,,
,,,,,,Individual_Refund,,,,,,,,
,,,,,,Party_Committee_Refund,,,,,,,,
,,,,,,Other_Committee_Refund,,,,,,,,
,,,,,,Total_Contribution_Refund,,,,,,,,
,,,,,,Other_Disbursements,,,,,,,,
,,,,,,Net_Contribution,,,,,,,,
,,,,,,Net_Operating_Expenditure,,,,,,,,
,,,,,,Cash_On_Hand_BOP,,,,,,,,
,,,,,,Debt_Owe_To_Committee,,,,,,,,
,,,,,,Coverage_Start_Date,,,,,,,,
,,,,,,Cand_Incumbent_Challenger_Open_Seat,,,,,,,,
,,,,,,Total_Receipt,,,,,,,,
,,,,,,Total_Disbursement,,,,,,,,
,,,,,,Cash_On_Hand_COP,,,,,,,,
,,,,,,Debt_Owed_By_Committee,,,,,,,,
,,,,,,Coverage_End_Date,,,,,,,,
,,,,,,,,,,,,,,
Junk,,,,,,,,,,,,,,
,,,,,,,,,status,,,,,
,,,,,,,,,copyright,,,,,
,,,,,,,,,results.num_results,,,,,
,,,,,,,,,results.offset,,,,,
