name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Mike Brown,Mike,,Brown,,,,,Republican Party,Kansas Secretary of State,Kansas Secretary of State,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,Mike@MikeBrownforKansas.com,n/a,,https://mikebrownforkansas.com/,,,,,,,,,,,https://www.facebook.com/profile.php?id=714039863,https://www.facebook.com/profile.php?id=100076439741399,,,,,"P.O. Box 14004 Lenexa, KS 66285",n/a,n/a,(913) 980-8669,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
Jeanna Repass,Jeanna,,Repass,,,,,Democratic Party,Kansas Secretary of State,Kansas Secretary of State,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,info@JeannaRepass.com,n/a,,https://jeannarepass.com/,,,https://www.twitter.com/JeannaRepass,,,,,,,,https://www.facebook.com/jeanna.repass,https://www.facebook.com/RepassForKansas,,,,,"PO Box 24284 Overland Park, KS 66283",n/a,n/a,(913) 298-1050,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
Kiel Corkran,Kiel,,Corkran,,,,,Democratic Party,Kansas State Insurance Commissioner,Kansas State Insurance Commissioner,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,info@corkran4commissioner.com,n/a,,https://corkran4commissioner.com/,,,https://www.twitter.com/Corkran4Com_KS,,,,,,,,https://www.facebook.com/kiel.corkran.14,https://www.facebook.com/corkran4commissioner,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
John A. McCaughrean,John,A.,McCaughrean,,,,,Republican Party,U.S. House Kansas District 3,U.S. Representative,KS,Challenger,Kansas Congressional District 3,,,,,,,,,n/a,,john.a.mccaughrean@gmail.com,n/a,,https://johnforkansas3.com/,,,,,,,,,,,https://www.facebook.com/profile.php?id=504900841,https://www.facebook.com/JohnForKansas3,,,,,,n/a,n/a,(913) 713-1258,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/cd:3,,
Amanda L. Adkins,Amanda,L.,Adkins,,,,https://www.amandaadkins.com/wp-content/uploads/2021/03/Amanda-Adkins-Photo-1-1.jpg,Republican Party,U.S. House Kansas District 3,U.S. Representative,KS,Challenger,Kansas Congressional District 3,,,,,,,,,n/a,,info@amandaadkins.com,n/a,,https://www.amandaadkins.com/,,https://www.twitter.com/amanda_adkins,https://www.twitter.com/amanda_adkins,,,,,,https://www.instagram.com/amandaadkinsks03/,,,https://www.facebook.com/AmandaAdkinsKS03/,,,,,,n/a,n/a,(913) 735-3371,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,https://en.wikipedia.org/wiki/Amanda_Adkins_(politician),,,,,,,,,,ocd-division/country:us/state:ks/cd:3,,
Sharice Davids,Sharice,,Davids,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Sharice_Davids.jpg/440px-Sharice_Davids.jpg,Democratic Party,U.S. House Kansas District 3,U.S. Representative,KS,Incumbent,Kansas Congressional District 3,,,Female,1980-05-22,,,,,,,campaign@shariceforcongress.com,https://davids.house.gov,,https://shariceforcongress.com/,https://www.twitter.com/RepDavids,,https://www.twitter.com/sharicedavids,https://www.youtube.com/channel/UCNUfpXQeUVdh6oKWVmq3xxQ,,,https://www.instagram.com/repdavids/,,https://www.instagram.com/shariceforcongress/,https://www.facebook.com/RepDavids,,,,,,,"13851 West 63rd Street #303 Shawnee, KS 66216",1541 Longworth House Office Building,,,202-225-2865,,,,,,,,,,,,,,412780,181201,,,,https://en.wikipedia.org/wiki/Sharice_Davids,/g/11fgm1fq16,,https://api.propublica.org/congress/v1/members/D000629.json,,,,H8KS03155,,,ocd-division/country:us/state:ks/cd:3,,
Ron Estes,Ron,,Estes,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Ron_Estes%2C_115th_official_photo.jpg/440px-Ron_Estes%2C_115th_official_photo.jpg,Republican Party,U.S. House Kansas District 4,U.S. Representative,KS,Incumbent,Kansas Congressional District 4,,,Male,1956-07-19,,,,,,,info@estesforcongress.com,https://estes.house.gov,,https://estesforcongress.com/,https://www.twitter.com/RepRonEstes,,https://www.twitter.com/ronestesks,https://www.youtube.com/c/repronestes,,https://www.youtube.com/channel/UCBPbo2I77pZMBfGeA0ain0A,https://www.instagram.com/repronestes/,,,https://www.facebook.com/RepRonEstes,https://www.facebook.com/ron.estes.775,https://www.facebook.com/ronesteskansas,,,,,"PO Box 782952 Wichita, KS 67278",2411 Rayburn House Office Building,,,202-225-6216,,,,,,,,,,,,,107963,412735,125031,,,21750,https://en.wikipedia.org/wiki/Ron_Estes,/m/0gfgsrm,,https://api.propublica.org/congress/v1/members/E000298.json,,,,H8KS04112,,,ocd-division/country:us/state:ks/cd:4,,
Bob Hernandez,Bob,,Hernandez,,,,,Democratic Party,U.S. House Kansas District 4,U.S. Representative,KS,Challenger,Kansas Congressional District 4,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/bob.hernandez.79656,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/cd:4,,
Danny Zeck,Danny,,Zeck,,,,,Republican Party,,Kansas School Board Member,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:1,,
Jeffrey M. Howards,Jeffrey,M.,Howards,,,,,Democratic Party,,Kansas School Board Member,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/jeff.howards.98,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:1,,
Michelle Dombrosky,Michelle,,Dombrosky,,,,,Republican Party,,Kansas School Board Member,KS,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/dombroskysboe,https://www.facebook.com/michelle.dombrosky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:3,,
Sheila Albers,Sheila,,Albers,,,,,Democratic Party,,Kansas School Board Member,KS,Challenger,,,,,,,,,,n/a,,albers@sheilaalbers.com,n/a,https://humancenteredsystems.org/,https://www.sheilaalbers.com/,,https://www.twitter.com/sheilaalbers01,,,,,,,,,https://www.facebook.com/sheila.b.albers,https://www.facebook.com/AlbersForKansasBoardofEducation/,,,,,"9943 W 152nd Terrace Overland Park, KS 66221",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:3,,
Jean Clifford,Jean,,Clifford,,,,,Republican Party,,Kansas School Board Member,KS,Incumbent,,,,,,,,,,,,,,,,https://www.twitter.com/jeanclifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:5,,
Cathy Hopkins,Cathy,,Hopkins,,,,,Republican Party,,Kansas School Board Member,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:5,,
Barb Wasinger,Barb,,Wasinger,,,,http://www.kslegislature.org/li/m/images/pics/rep_wasinger_barbara_1.jpg,Republican Party,Kansas State House District 111,Kansas State Representative,KS,Incumbent,Kansas State House District 111,,,,,,,,,,,barbwasinger@me.com,,,https://barbforkansas.com/,,,,,,,https://www.instagram.com/barbwasinger/,,https://www.instagram.com/barbwasinger/,https://www.facebook.com/electbarbwasinger,https://www.facebook.com/barbara.wasinger,https://www.facebook.com/electbarbwasinger,,,,,"P.O. Box 522 Hays, KS 67601",,,(785) 317-9386,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Barbara_Wasinger,,,,,,,,,,ocd-division/country:us/state:ks/sldl:111,,
Edward H. Hammond,Edward,H.,Hammond,,,,,Democratic Party,Kansas State House District 111,Kansas State Representative,KS,Challenger,Kansas State House District 111,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/edward.hammond.14,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,https://en.wikipedia.org/wiki/Edward_H._Hammond,,,,,,,,,,ocd-division/country:us/state:ks/sldl:111,,
Mel Pinick,Mel,,Pinick,,,,,Democratic Party,Kansas State House District 121,Kansas State Representative,KS,Challenger,Kansas State House District 121,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:121,,
Tory Marie Blew,Tory,Marie,Blew,,,,http://www.kslegislature.org/li/m/images/pics/rep_arnberger_tory_1.jpg,Republican Party,Kansas State House District 112,Kansas State Representative,KS,Incumbent,Kansas State House District 112,,,,,,,,,,,tmarnberger@gmail.com,,,,https://www.twitter.com/torymarieab,,https://www.twitter.com/torymarieab,,,,,https://www.instagram.com/torymarie2/,,https://www.facebook.com/ToryMarieBlew,https://www.facebook.com/tory.m.arnberger,https://www.facebook.com/ToryMarieBlew,,,,,,,,(620) 603-8967,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Tory_Marie_Arnberger,,,,,,,,,,ocd-division/country:us/state:ks/sldl:112,,
Dennis Hershberger,Dennis,,Hershberger,,,,,Republican Party,,Kansas School Board Member,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:7,,
Brett Fairchild,Brett,,Fairchild,,,,http://kslegislature.org/li/m/images/pics/rep_fairchild_brett_1.jpg,Republican Party,Kansas State House District 113,Kansas State Representative,KS,Incumbent,Kansas State House District 113,,,,,,,,,brett.fairchild@house.ks.gov,,Fairchild_2@Hotmail.com,,,https://brettfairchild.com/,,,,,,,,,,https://www.facebook.com/profile.php?id=100057993551368,https://www.facebook.com/brett.fairchild,https://www.facebook.com/profile.php?id=100057993551368,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Brett_Fairchild,,,,,,,,,,ocd-division/country:us/state:ks/sldl:113,ocd-person/ca3f1bf6-44e0-4d67-b242-3cd29905723c,
Bob Rein,Bob,,Rein,,,,,Republican Party,Kansas State House District 113,Kansas State Representative,KS,Challenger,Kansas State House District 113,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/bob.rein.1,https://www.facebook.com/profile.php?id=100081892248945,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:113,,
William Clifford,William,,Clifford,,,,http://www.kslegislature.org/li/m/images/pics/rep_clifford_bill_1.jpg,Republican Party,Kansas State House District 122,Kansas State Representative,KS,Incumbent,Kansas State House District 122,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/bill.clifford.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:122,,
Corinne Wray,Corinne,,Wray,,,,,Republican Party,Kansas State House District 122,Kansas State Representative,KS,Challenger,Kansas State House District 122,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:122,,
"John P. Wheeler, Jr.",John,P.,Wheeler,,,Jr.,http://www.kslegislature.org/li/m/images/pics/rep_wheeler_john_1.jpg,Republican Party,Kansas State House District 123,Kansas State Representative,KS,Incumbent,Kansas State House District 123,,,,,,,,,John.Wheeler@house.ks.gov,,,,,,,,,,,,,,,https://www.facebook.com/wheelerfordistrict123,https://www.facebook.com/john.p.wheeler.7,https://www.facebook.com/wheelerfordistrict123,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/John_Wheeler_(Kansas_politician),,,,,,,,,,ocd-division/country:us/state:ks/sldl:123,ocd-person/ff250ff6-c494-4c7b-85b9-432d63195cdb,
Bob Lewis,Bob,,Lewis,,,,https://secureservercdn.net/45.40.152.202/g0l.407.myftpupload.com/wp-content/uploads/2021/12/COB_bob4.png,Republican Party,Kansas State House District 123,Kansas State Representative,KS,Challenger,Kansas State House District 123,,,,,,,,,n/a,,gckbobl@gmail.com,n/a,,https://boblewisforkansas.com/,,,,,,,,,,,https://www.facebook.com/BobLewis.GCK,https://www.facebook.com/BobLewisforKSRep,,,,,"P.O. Box 8, Garden City, KS 67846",n/a,n/a,(620) 504-9522,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:123,,
Jo Ann Roth,Jo,Ann,Roth,,,,https://www.joannrothforstaterepresentative.com/_vercel/image?url=https://res.cloudinary.com/pies/image/upload/test-widget-upload/g1i3zbv01abklwwun0f4&w=768&q=100,Democratic Party,Kansas State House District 113,Kansas State Representative,KS,Challenger,Kansas State House District 113,,,,,,,,,n/a,,info@joannrothforstaterepresentative.com,n/a,,https://www.joannrothforstaterepresentative.com/,,,,,,,,,,,https://www.facebook.com/joann.roth.58,https://www.facebook.com/joannrothforstaterepresentative,,,,,,n/a,n/a,(620) 282-4054,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:113,,
Michael Murphy,Michael,,Murphy,,,,http://www.kslegislature.org/li/m/images/pics/rep_murphy_michael_1.jpg,Republican Party,Kansas State House District 114,Kansas State Representative,KS,Incumbent,Kansas State House District 114,,,,,,,,,michael.murphy@house.ks.gov,,ILikeMike114@gmail.com,,,,,,,,,,,,,https://www.facebook.com/114thdistrict,,https://www.facebook.com/114thdistrict,,,,,,,,(620) 204-0416,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Michael_Murphy_(Kansas_politician),,,,,,,,,,ocd-division/country:us/state:ks/sldl:114,ocd-person/8b446a75-944d-4292-8af0-f5114be39021,
"Joseph A. Nuci, Jr.",Joseph,A.,Nuci,,,Jr.,,Republican Party,Kansas State House District 115,Kansas State Representative,KS,Challenger,Kansas State House District 115,,,,,,,,,n/a,,joenuci1@gmail.com,n/a,,,,,,,,,,,,,https://www.facebook.com/joe.nuci,https://www.facebook.com/profile.php?id=100082151356387,,,,,,n/a,n/a,(620) 338-3681,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:115,,
Gary White,Gary,,White,,,,,Republican Party,Kansas State House District 115,Kansas State Representative,KS,Challenger,Kansas State House District 115,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:115,,
David Younger,David,,Younger,,,,,Republican Party,Kansas State House District 124,Kansas State Representative,KS,Challenger,Kansas State House District 124,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/dave.younger.3,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:124,,
Allison Hougland,Allison,,Hougland,,,,,Democratic Party,Kansas State House District 15,Kansas State Representative,KS,Challenger,Kansas State House District 15,,,,,,,,,n/a,,,n/a,,,,https://www.twitter.com/DaylongAllison,,,,,,,,,https://www.facebook.com/allison.daylong,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:15,,
Ed Roitz,Ed,,Roitz,,,,https://secureservercdn.net/198.71.233.226/qv5.c48.myftpupload.com/wp-content/uploads/2022/04/Ed_Roitz-224-scaled-e1649186204482-2048x1366.jpg,Republican Party,Kansas State House District 16,Kansas State Representative,KS,Challenger,Kansas State House District 16,,,,,,,,,n/a,,ed@edforkansas.com,n/a,,https://edforkansas.com/,,,,,,,,,,,,https://www.facebook.com/EdforKansas,,,,,"PO Box 26314 Overland Park, KS 66225",n/a,n/a,(913) 219-9750,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:16,,
Kyle D. Hoffman,Kyle,D.,Hoffman,,,,http://kslegislature.org/li/m/images/pics/rep_hoffman_kyle_1.jpg,Republican Party,Kansas State House District 116,Kansas State Representative,KS,Incumbent,Kansas State House District 116,,,,,,,,,kyle.hoffman@house.ks.gov,,kyle@kylehoffman.net,,,https://www.kylehoffman.net/,,https://www.twitter.com/repkdh,,,,,,,,https://www.facebook.com/RepKyleHoffman,https://www.facebook.com/kyle.d.hoffman.3,https://www.facebook.com/RepKyleHoffman,,,,,"PO Box 621 Bucklin, KS 67834",,,(620) 582-2217,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kyle_Hoffman,,,,,,,,,,ocd-division/country:us/state:ks/sldl:116,ocd-person/c51517ec-db1e-433d-a1d0-683547ae34a2,
Kirsten Lee Barger,Kirsten,Lee,Barger,,,,,Democratic Party,Kansas State House District 116,Kansas State Representative,KS,Challenger,Kansas State House District 116,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/sldl:116,,
Linda Featherston,Linda,,Featherston,,,,http://www.kslegislature.org/li/m/images/pics/rep_featherston_linda_1.jpg,Democratic Party,Kansas State House District 16,Kansas State Representative,KS,Incumbent,Kansas State House District 16,,,,,,,,,linda.featherston@house.ks.gov,,linda4kansas@gmail.com,,,https://www.linda4kansas.com/,https://www.twitter.com/Linda4Kansas,,https://www.twitter.com/Linda4Kansas,,,,,,,https://www.facebook.com/Featherston4Kansas,https://www.facebook.com/linda.m.featherston,https://www.facebook.com/Featherston4Kansas,,,,,"PO Box 13447 Overland Park, KS 66282",,,(913) 735-3635,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Linda_Featherston,,,,,,,,,,ocd-division/country:us/state:ks/sldl:16,ocd-person/dd5d95d7-16a3-4094-8c3f-d1319fb5b61a,
Ben Jones,Ben,,Jones,,,,,Republican Party,,Kansas School Board Member,KS,Incumbent,,,,,,,,,,,,,,,,https://www.twitter.com/jonesksboe,,,,,,,,,https://www.facebook.com/profile.php?id=100063718910813,https://www.facebook.com/benjamin.jones.9803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks/school_board_district:7,,
